NODE_9_length_3842_cov_27.242963,Viral_Rep
NODE_99_length_2002_cov_6.064416,NADHdh Complex1_49kDa
NODE_9997_length_357_cov_1.553571,Fer4_7
NODE_9984_length_357_cov_2.250000,Ham1p_like
NODE_9956_length_357_cov_6.007143,RecT
NODE_994_length_841_cov_4.975131,Ribonuc_red_sm Ribonuc_red_lgC
NODE_992_length_841_cov_7.829843,Acyl-CoA_dh_M Acyl-CoA_dh_2 Acyl-CoA_dh_N Acyl-CoA_dh_1
NODE_9911_length_358_cov_2.142349,DUF3799
NODE_9903_length_358_cov_2.540925,Terminase_1
NODE_9896_length_358_cov_3.064057,Isochorismatase
NODE_9895_length_358_cov_3.106762,Cpn10
NODE_988_length_843_cov_1.661880,TRAM
NODE_9854_length_359_cov_1.365248,Hydrolase_3
NODE_978_length_846_cov_2.204161,ParA
NODE_9723_length_360_cov_4.660777,Ribosomal_L34
NODE_970_length_848_cov_6.748379,Ribosom_S12_S23 Ribosomal_L7Ae
NODE_96_length_2010_cov_7.257113,tRNA-synt_2b HGTP_anticodon
NODE_968_length_848_cov_7.676166,RNA_helicase
NODE_9686_length_361_cov_1.228873,RHH_1
NODE_9664_length_361_cov_1.781690,DUF1697
NODE_9623_length_361_cov_7.429577,HSP20
NODE_9602_length_362_cov_1.000000,tRNA_m1G_MT
NODE_9601_length_362_cov_1.003509,DAP_epimerase
NODE_95_length_2017_cov_15.784132,RNA_pol_Rpb1_5
NODE_9593_length_362_cov_1.175439,TPP_enzyme_C
NODE_9562_length_362_cov_1.964912,HTH_17
NODE_9553_length_362_cov_2.726316,CTP_transf_1
NODE_9552_length_362_cov_2.729825,COX1
NODE_9535_length_362_cov_4.614035,TylF
NODE_952_length_859_cov_1.708440,HHH
NODE_951_length_859_cov_2.654731,DUF4375
NODE_9500_length_363_cov_1.384615,DUF2156
NODE_9451_length_363_cov_4.027972,EFG_C
NODE_944_length_861_cov_11.313776,Enolase_C
NODE_943_length_862_cov_2.031847,CoaE DNA_pol_A
NODE_9436_length_364_cov_0.763066,DDE_Tnp_ISL3
NODE_941_length_864_cov_2.123253,DHHA1
NODE_93_length_2033_cov_5.052658,Toprim_C_rpt Topoisom_bac
NODE_9375_length_364_cov_2.759582,N6_N4_Mtase
NODE_9373_length_364_cov_3.125436,tRNA-synt_1e
