NODE_9_length_3842_cov_27.242963,Viral_Rep
NODE_8_length_3958_cov_4.036073,Molydop_binding Molybdopterin Fer4_11 Nitrate_red_del Nitr_red_bet_C
NODE_7_length_4074_cov_7.187140,YadA_stalk YadA_anchor
NODE_6_length_4266_cov_43.850322,Ribosomal_S30AE Phage_integrase Ribosomal_S21 GTP_EFTU Phage_int_SAM_5 NusG Phage_int_SAM_4 Phage_int_SAM_1 GTP_EFTU_D3 GTP_EFTU_D2
NODE_5_length_4814_cov_12.303145,ATP-synt ATP-synt_C ATP-synt_ab_N ATP-synt_ab ATP-synt_ab_C ATP-synt_B OSCP
NODE_4_length_5116_cov_18.119468,Ribosomal_L1 Ribosomal_L12 Ribosomal_L11_N Ribosomal_L10 Ribosomal_L12_N Ribosomal_L11
NODE_3_length_5584_cov_13759.613946,Phage_GPA Phage_F
NODE_2_length_8134_cov_6.182822,Ribosomal_L5_C KH_2 Ribosomal_S8 Ribosomal_L18p Ribosomal_L14 Ribosomal_L16 Ribosomal_L3 Ribosomal_L4 Ribosomal_L6 ribosomal_L24 Ribosomal_L5 Ribosomal_S17 Ribosomal_L22 Ribosomal_L29 Ribosomal_S19 Ribosomal_L2 Ribosomal_L23 Ribosomal_S3_C Ribosomal_L2_C Ribosomal_S14
NODE_23_length_3129_cov_6.226737,ABC_tran GrpE ABC_tran_Xtn
NODE_22_length_3172_cov_5.137964,Plug
NODE_21_length_3341_cov_35.065870,Parvo_NS1
NODE_20_length_3346_cov_4.914653,PASTA Mur_ligase Mur_ligase_C Mur_ligase_M
NODE_1_length_29907_cov_150.822528,nsp8 NSP13 Viral_helicase1 Corona_S2 nsp9 Viral_protease Macro NSP11 AAA_30 Corona_M NAR Peptidase_C30 NSP10 nsp7 Spike_rec_bind Corona_RPol_N Corona_NSP4_C Corona_nucleoca
NODE_18_length_3476_cov_26.720800,KH_2 Ribosomal_L22 ribosomal_L24 Ribosomal_S19 KOW Ribosomal_S3_C Ribosomal_L29 Ribosomal_L16 Ribosomal_L2_C Ribosomal_L14 Ribosomal_S17
NODE_16_length_3609_cov_10.854190,CLP_protease zf-C4_ClpX ClpB_D2-small Trigger_N AAA_2 Trigger_C
NODE_14_length_3711_cov_8.323335,EKR Fer4_16 PFOR_II Fer4_7 TPP_enzyme_C POR POR_N
NODE_13_length_3721_cov_21.062843,Ribosomal_S10 EFG_C GTP_EFTU EFG_IV EFG_II GTP_EFTU_D3 GTP_EFTU_D2
NODE_12_length_3766_cov_9.195446,RNA_pol_Rpb2_7 RNA_pol_Rpb2_6
NODE_11_length_3791_cov_9.902262,DUF150_C DUF150 KH_5 NusA_N
NODE_10_length_3800_cov_8.261010,SecA_DEAD SecA_SW SEC-C
