Locus_tag	Product	Start	End	Length
CJCOGG_00001	RNA-guided endonuclease InsQ/TnpB family protein	27	1073	1046
CJCOGG_00002	cell division protein YtfB	1208	1846	638
CJCOGG_00003	FKBP-type peptidyl-prolyl cis-trans isomerase	2065	2685	620
CJCOGG_00004	D-serine/D-alanine/glycine transporter	2994	4406	1412
CJCOGG_00005	iron-sulfur cluster repair protein YtfE	4451	5113	662
CJCOGG_00006	Inner membrane protein YtfF	5221	6186	965
CJCOGG_00007	NAD(P)H:quinone oxidoreductase	6294	7154	860
CJCOGG_00008	Uncharacterized HTH-type transcriptional regulator YtfH	7243	7623	380
CJCOGG_00009	2'%2C3'-cyclic-nucleotide 2'-phosphodiesterase	7752	9695	1943
CJCOGG_00011	3'(2')%2C5'-bisphosphate nucleotidase CysQ	9885	10625	740
CJCOGG_00012	Uncharacterized protein YtfJ	10615	11172	557
CJCOGG_00013	Uncharacterized protein YtfK	11497	11703	206
CJCOGG_00014	Polyamine export protein	11765	13108	1343
CJCOGG_00017	Peptide methionine sulfoxide reductase MsrA	13431	14069	638
CJCOGG_00018	autotransporter assembly complex protein TamA	14275	16008	1733
CJCOGG_00019	autotransporter assembly complex protein TamB	16005	19784	3779
CJCOGG_00020	Gamma-glutamylcyclotransferase family protein YtfP	19787	20128	341
CJCOGG_00021	type II toxin-antitoxin system antitoxin ChpS	20340	20591	251
CJCOGG_00022	type II toxin-antitoxin system ChpB family toxin	20621	20935	314
CJCOGG_00023	inorganic diphosphatase	21015	21545	530
CJCOGG_00024	galactofuranose ABC transporter substrate-binding protein YtfQ	21855	22811	956
CJCOGG_00026	Galactofuranose transporter ATP-binding protein YtfR	23121	24623	1502
CJCOGG_00027	galactofuranose ABC transporter%2C ATP-binding protein YtfT	24637	25659	1022
CJCOGG_00028	galactofuranose ABC transporter%2C permease protein YjfF	25646	26641	995
CJCOGG_00029	class 1 fructose-bisphosphatase	26674	27672	998
CJCOGG_00030	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase	27848	29221	1373
CJCOGG_00032	ribosome biogenesis factor YjgA	29372	29923	551
CJCOGG_00033	metalloprotease PmbA	30017	31369	1352
CJCOGG_00034	cytochrome b562	31552	31938	386
CJCOGG_00035	anaerobic ribonucleoside-triphosphate reductase-activating protein	31983	32447	464
CJCOGG_00036	anaerobic ribonucleoside-triphosphate reductase	32605	34743	2138
CJCOGG_00037	alpha%2Calpha-phosphotrehalase	35146	36801	1655
CJCOGG_00038	PTS trehalose transporter subunit IIBC	36851	38272	1421
CJCOGG_00039	trehalose operon repressor TreR	38391	39338	947
CJCOGG_00040	mgtA leader peptide	39523	39576	53
CJCOGG_00041	magnesium-translocating P-type ATPase	39717	42413	2696
CJCOGG_00042	IS110 family IS621 transposase	42641	43621	980
CJCOGG_00043	2-iminobutanoate/2-iminopropanoate deaminase	43898	44284	386
CJCOGG_00044	aspartate carbamoyltransferase regulatory subunit	44357	44818	461
CJCOGG_00045	aspartate carbamoyltransferase	44831	45766	935
CJCOGG_00046	RutC family protein YjgH	46185	46580	395
CJCOGG_00047	SDR family oxidoreductase	46711	47424	713
CJCOGG_00048	HTH-type transcriptional repressor BdcR	47495	48088	593
CJCOGG_00049	toxin-antitoxin biofilm protein TabA	48233	48685	452
CJCOGG_00050	DNA-binding protein	48808	50127	1319
CJCOGG_00051	DNA-binding protein	50139	50369	230
CJCOGG_00052	ornithine carbamoyltransferase	50470	51474	1004
CJCOGG_00053	ribonuclease E inhibitor RraB	51636	52052	416
CJCOGG_00054	GNAT family N-acetyltransferase	52098	52601	503
CJCOGG_00055	Inner membrane protein YjgN	52794	53990	1196
CJCOGG_00056	valine--tRNA ligase	54046	56901	2855
CJCOGG_00057	DNA polymerase III subunit chi	56901	57383	482
CJCOGG_00058	leucyl aminopeptidase	57478	58989	1511
CJCOGG_00060	LPS export ABC transporter permease LptF	59277	60356	1079
CJCOGG_00061	LPS export ABC transporter permease LptG	60356	61438	1082
CJCOGG_00062	Uncharacterized protein YjgR	61557	63059	1502
CJCOGG_00063	DNA-binding transcriptional regulator IdnR	63137	64135	998
CJCOGG_00064	gnt-II system L-idonate transporter	64202	65521	1319
CJCOGG_00065	gluconate 5-dehydrogenase	65586	66350	764
CJCOGG_00066	L-idonate 5-dehydrogenase	66374	67405	1031
CJCOGG_00067	gluconokinase	67622	68185	563
CJCOGG_00068	NADPH-dependent aldehyde reductase Ahr	68189	69208	1019
CJCOGG_00070	Tyr recombinase domain-containing protein	69638	70564	926
CJCOGG_00071	MobH family relaxase	70554	72173	1619
CJCOGG_00072	Antirestriction protein	72183	73388	1205
CJCOGG_00073	hypothetical protein	73474	73767	293
CJCOGG_00074	phosphorothioated DNA-binding restriction endonuclease	74135	75007	872
CJCOGG_00075	Response receiver domain-containing protein	75252	75632	380
CJCOGG_00076	IS1 family transposase	75686	76063	377
CJCOGG_00077	InsB	76135	76350	215
CJCOGG_00078	protein adenylyltransferase Fic	78229	79305	1076
CJCOGG_00079	hypothetical protein	79356	79985	629
CJCOGG_00080	IS1 family transposase	80431	80724	293
CJCOGG_00081	Transcriptional regulator	80896	81720	824
CJCOGG_00082	PTS glucose transporter subunit IIB	81886	83442	1556
CJCOGG_00083	Putative N-acetylmannosamine-6-phosphate 2-epimerase	83442	84131	689
CJCOGG_00084	Transposase%2C IS110 family	85692	85985	293
CJCOGG_00085	HTH lacI-type domain-containing protein	86377	87408	1031
CJCOGG_00086	PTS system EIIA component	87679	88122	443
CJCOGG_00087	Ascorbate-specific PTS system EIIB component	88138	88425	287
CJCOGG_00088	PTS ascorbate transporter subunit IIC	88438	89694	1256
CJCOGG_00089	Transposase	89941	90195	254
CJCOGG_00090	Aldose 1-epimerase family protein	90617	91630	1013
CJCOGG_00091	L-fucose:H+ symporter permease	91642	92958	1316
CJCOGG_00092	ribokinase	92986	93906	920
CJCOGG_00093	Transcriptional regulator	94212	94994	782
CJCOGG_00094	hypothetical protein	95821	96102	281
CJCOGG_00095	IS66 family ISEc23 transposase	96178	97791	1613
CJCOGG_00096	IS66 family insertion sequence element accessory protein TnpB	97822	98172	350
CJCOGG_00097	IS66-like element accessory protein TnpA	98169	98594	425
CJCOGG_00098	Alcohol dehydrogenase	98880	98984	104
CJCOGG_00099	HTH regulator%2C TetR family	99042	99698	656
CJCOGG_00100	DUF2254 domain-containing protein	99944	101221	1277
CJCOGG_00101	Choline transporter	101181	101339	158
CJCOGG_00102	Glycine betaine transporter BetP	101284	103281	1997
CJCOGG_00103	IS3 family ISSd1 transposase	103435	104574	1139
CJCOGG_00104	lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase	104755	105699	944
CJCOGG_00105	virulence factor VirK	105764	106714	950
CJCOGG_00106	putative hexosyltransferase CapU	106719	107807	1088
CJCOGG_00107	Carbohydrate transporter	107810	108631	821
CJCOGG_00108	Transposase family protein	108838	109140	302
CJCOGG_00109	Putative transposase InsO for insertion sequence element IS911A	109382	109621	239
CJCOGG_00110	group II intron reverse transcriptase/maturase	110213	111736	1523
CJCOGG_00111	KpLE2 phage-like element	112387	112644	257
CJCOGG_00112	Fe(3+) dicitrate ABC transporter ATP-binding protein FecE	113202	113969	767
CJCOGG_00113	Fe(3+) dicitrate ABC transporter permease subunit FecD	113970	114926	956
CJCOGG_00114	iron-dicitrate ABC transporter permease FecC	114923	115921	998
CJCOGG_00115	Fe(3+) dicitrate ABC transporter substrate-binding protein FecB	115918	116820	902
CJCOGG_00116	Fe(3+) dicitrate transport protein FecA	116865	119189	2324
CJCOGG_00117	ferric citrate uptake sigma factor regulator FecR	119276	120229	953
CJCOGG_00118	RNA polymerase sigma factor FecI	120226	120747	521
CJCOGG_00119	Protein YkiE	120884	120952	68
CJCOGG_00120	hypothetical protein	121431	121541	110
CJCOGG_00121	Biofilm development YmgB/AriR family protein	121665	121922	257
CJCOGG_00122	Phytase-like domain-containing protein	122673	124031	1358
CJCOGG_00123	IS66 family transposase	124270	125655	1385
CJCOGG_00124	IS66 family insertion sequence element accessory protein TnpB	125705	126052	347
CJCOGG_00125	IS66-like element accessory protein TnpA	126049	126429	380
CJCOGG_00126	hypothetical protein	126548	126784	236
CJCOGG_00127	DNA-directed RNA polymerase%2C beta subunit/140 kD subunit	126784	127218	434
CJCOGG_00128	Ybl85	127206	127607	401
CJCOGG_00129	Inovirus Gp2 family protein	127867	128436	569
CJCOGG_00130	Hemolysin activation protein	129177	129353	176
CJCOGG_00131	hypothetical protein	129654	129920	266
CJCOGG_00132	AlpA family transcriptional regulator	130061	130267	206
CJCOGG_00133	Aec62	130362	130964	602
CJCOGG_00134	hypothetical protein	131480	131608	128
CJCOGG_00135	Ybl124	132165	132842	677
CJCOGG_00136	IS1 family transposase	132853	133230	377
CJCOGG_00137	IS1 family IS1A transposase ORF A	133275	133550	275
CJCOGG_00138	gluconate permease GntP	133949	135292	1343
CJCOGG_00139	mannonate dehydratase	135632	136816	1184
CJCOGG_00140	D-mannonate oxidoreductase	136897	138357	1460
CJCOGG_00141	Uxu operon transcriptional regulator	138620	139345	725
CJCOGG_00142	DUF2686 domain-containing protein	139486	140316	830
CJCOGG_00143	iraD leader peptide	140908	140991	83
CJCOGG_00144	anti-adapter protein IraD	140988	141380	392
CJCOGG_00145	hypochlorite stress DNA-binding transcriptional regulator HypT	141373	142284	911
CJCOGG_00146	beta-aspartyl-peptidase	142349	143521	1172
CJCOGG_00147	Inner membrane protein YjiG	143534	143995	461
CJCOGG_00148	Uncharacterized protein YjiH	143992	144675	683
CJCOGG_00149	RNA 2'-phosphotransferase	144925	145479	554
CJCOGG_00150	Uncharacterized protein YjiJ	145492	146670	1178
CJCOGG_00151	Uncharacterized protein YjiK	146738	147709	971
CJCOGG_00152	Uncharacterized protein YtiA	147663	147920	257
CJCOGG_00153	Uncharacterized protein YjiL	147917	148684	767
CJCOGG_00154	double-cubane-cluster-containing anaerobic reductase	148694	149845	1151
CJCOGG_00155	Uncharacterized protein YjiN	149961	151208	1247
CJCOGG_00156	multidrug efflux MFS transporter MdtM	151282	152514	1232
CJCOGG_00157	Transposase (putative) YhgA-like domain-containing protein	152981	153937	956
CJCOGG_00158	Uncharacterized HTH-type transcriptional regulator YjiR	154180	155592	1412
CJCOGG_00159	DUF1127 domain-containing protein	155769	155933	164
CJCOGG_00160	DUF262 domain-containing protein	156030	156746	716
CJCOGG_00161	DUF1524 domain-containing protein	156753	158123	1370
CJCOGG_00162	endoribonuclease SymE	158170	158511	341
CJCOGG_00164	Type I restriction enzyme EcoAI specificity protein (S protein) (S-EcoAI)	158732	160468	1736
CJCOGG_00165	Type I restriction enzyme EcoEI methylase subunit	160468	161937	1469
CJCOGG_00166	EcoAI/FtnUII family type I restriction enzme subunit R	162004	164436	2432
CJCOGG_00167	DUF262 domain-containing protein	164714	166366	1652
CJCOGG_00168	GTPase	166435	167391	956
CJCOGG_00169	Uncharacterized protein YjiX	167402	167605	203
CJCOGG_00170	pyruvate/proton symporter BtsT	167736	169886	2150
CJCOGG_00171	methyl-accepting chemotaxis protein	170263	171927	1664
CJCOGG_00172	putative L-galactonate transporter	171976	173337	1361
CJCOGG_00173	putative HTH-type transcriptional regulator LgoR	173552	174466	914
CJCOGG_00174	L-galactonate oxidoreductase	174605	175627	1022
CJCOGG_00175	phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase	175768	178059	2291
CJCOGG_00176	Uncharacterized protein YjjA	178313	178807	494
CJCOGG_00177	DNA replication protein DnaC	178856	179593	737
CJCOGG_00178	primosomal protein DnaT	179596	180135	539
CJCOGG_00179	threonine/serine exporter	180242	180715	473
CJCOGG_00180	putative succinate transporter subunit YjjP	180706	181476	770
CJCOGG_00181	Putative transcription factor YjjQ	182097	182822	725
CJCOGG_00182	DNA-binding transcriptional activator BglJ	182780	183457	677
CJCOGG_00183	siderophore-iron reductase FhuF	183495	184283	788
CJCOGG_00184	Uncharacterized protein YjjZ	184424	184660	236
CJCOGG_00189	16S rRNA (guanine(1207)-N(2))-methyltransferase RsmC	185330	186361	1031
CJCOGG_00190	DNA polymerase III subunit psi	186464	186877	413
CJCOGG_00191	ribosomal protein S18-alanine N-acetyltransferase	186846	187292	446
CJCOGG_00192	pyrimidine 5'-nucleotidase	187307	187984	677
CJCOGG_00193	peptide chain release factor 3	188075	189664	1589
CJCOGG_00194	molecular chaperone OsmY	190057	190662	605
CJCOGG_00195	UPF0391 membrane protein ECA0470	190789	190950	161
CJCOGG_00196	Uncharacterized protein YjjU	191072	192145	1073
CJCOGG_00197	metal-dependent hydrolase	192142	192924	782
CJCOGG_00200	Putative glycyl-radical enzyme activating enzyme YjjW	193154	194017	863
CJCOGG_00201	Uncharacterized protein YjjI	193989	195539	1550
CJCOGG_00202	deoxyribose-phosphate aldolase	195797	196576	779
CJCOGG_00203	thymidine phosphorylase	196654	197976	1322
CJCOGG_00204	phosphopentomutase	198028	199251	1223
CJCOGG_00205	purine-nucleoside phosphorylase	199331	200050	719
CJCOGG_00206	Lipoate-protein ligase A	200325	200474	149
CJCOGG_00207	lipoate--protein ligase LplA	200506	201522	1016
CJCOGG_00208	YtjB family periplasmic protein	201550	202194	644
CJCOGG_00209	phosphoserine phosphatase	202300	203268	968
CJCOGG_00210	DNA repair protein RadA	203317	204699	1382
CJCOGG_00211	multifunctional transcriptional regulator/nicotinamide-nucleotide adenylyltransferase/ribosylnicotinamide kinase NadR	204720	205952	1232
